biome,genus,age,n_obs,n_plot,n_site
Boreal Forests/Taiga,Larix,10,1,1,1
Boreal Forests/Taiga,Larix,14,2,1,1
Boreal Forests/Taiga,Larix,25,1,1,1
Boreal Forests/Taiga,Larix,38,4,1,1
Boreal Forests/Taiga,Larix,40,7,1,1
Boreal Forests/Taiga,Picea,10,1,1,1
Boreal Forests/Taiga,Picea,12,1,1,1
Boreal Forests/Taiga,Picea,19,6,1,2
Boreal Forests/Taiga,Picea,20,16,1,3
Boreal Forests/Taiga,Picea,21,2,1,1
Boreal Forests/Taiga,Picea,36,1,1,1
Boreal Forests/Taiga,Picea,37,2,2,1
Boreal Forests/Taiga,Picea,38,1,1,1
Boreal Forests/Taiga,Picea,58,1,1,1
Boreal Forests/Taiga,Pinus,7,1,1,1
Boreal Forests/Taiga,Pinus,9,1,1,1
Boreal Forests/Taiga,Pinus,10,2,2,2
Boreal Forests/Taiga,Pinus,12,3,2,2
Boreal Forests/Taiga,Pinus,13,2,1,1
Boreal Forests/Taiga,Pinus,14,3,3,2
Boreal Forests/Taiga,Pinus,15,2,1,2
Boreal Forests/Taiga,Pinus,16,1,1,1
Boreal Forests/Taiga,Pinus,17,3,1,2
Boreal Forests/Taiga,Pinus,18,3,1,3
Boreal Forests/Taiga,Pinus,19,1,1,1
Boreal Forests/Taiga,Pinus,20,5,1,3
Boreal Forests/Taiga,Pinus,21,2,1,2
Boreal Forests/Taiga,Pinus,22,5,1,2
Boreal Forests/Taiga,Pinus,23,1,1,1
Boreal Forests/Taiga,Pinus,24,5,1,2
Boreal Forests/Taiga,Pinus,25,2,1,2
Boreal Forests/Taiga,Pinus,26,1,1,1
Boreal Forests/Taiga,Pinus,27,1,1,1
Boreal Forests/Taiga,Pinus,28,2,1,2
Boreal Forests/Taiga,Pinus,29,2,1,2
Boreal Forests/Taiga,Pinus,30,7,1,3
Boreal Forests/Taiga,Pinus,31,9,2,3
Boreal Forests/Taiga,Pinus,32,3,1,3
Boreal Forests/Taiga,Pinus,34,2,2,1
Boreal Forests/Taiga,Pinus,35,1,1,1
Boreal Forests/Taiga,Pinus,36,2,2,2
Boreal Forests/Taiga,Pinus,37,5,1,2
Boreal Forests/Taiga,Pinus,38,3,2,3
Boreal Forests/Taiga,Pinus,39,7,2,5
Boreal Forests/Taiga,Pinus,40,9,2,6
Boreal Forests/Taiga,Pinus,41,2,1,1
Boreal Forests/Taiga,Pinus,46,6,1,2
Boreal Forests/Taiga,Pinus,47,7,2,2
Boreal Forests/Taiga,Pinus,48,2,1,1
Boreal Forests/Taiga,Pinus,49,2,1,1
Boreal Forests/Taiga,Pinus,50,4,2,3
Boreal Forests/Taiga,Pinus,53,1,1,1
Boreal Forests/Taiga,Pinus,55,2,1,1
Boreal Forests/Taiga,Pinus,57,3,1,1
Boreal Forests/Taiga,Pinus,58,12,1,2
Boreal Forests/Taiga,Pinus,60,2,1,1
Boreal Forests/Taiga,Pinus,72,1,1,1
Boreal Forests/Taiga,Pinus,75,1,1,1
Boreal Forests/Taiga,Pinus,84,1,1,1
Boreal Forests/Taiga,Populus,9,1,1,1
Deserts & Xeric Shrublands,Acacia,4,1,1,1
Deserts & Xeric Shrublands,Acacia,8,1,1,1
Deserts & Xeric Shrublands,Eucalyptus,3,8,8,1
Deserts & Xeric Shrublands,Eucalyptus,4,1,1,1
Deserts & Xeric Shrublands,Eucalyptus,5,1,1,1
Deserts & Xeric Shrublands,Eucalyptus,6,1,1,1
Deserts & Xeric Shrublands,Eucalyptus,7,9,9,2
Deserts & Xeric Shrublands,Eucalyptus,8,2,2,2
Deserts & Xeric Shrublands,Eucalyptus,9,1,1,1
Deserts & Xeric Shrublands,Eucalyptus,10,8,8,1
Deserts & Xeric Shrublands,Pinus,15,1,1,1
Deserts & Xeric Shrublands,Pinus,22,1,1,1
Deserts & Xeric Shrublands,Pinus,23,1,1,1
Deserts & Xeric Shrublands,Pinus,33,1,1,1
Deserts & Xeric Shrublands,Pinus,40,1,1,1
Deserts & Xeric Shrublands,Pinus,60,1,1,1
Deserts & Xeric Shrublands,Pinus,70,1,1,1
Deserts & Xeric Shrublands,Populus,2,1,1,1
Deserts & Xeric Shrublands,Populus,3,1,1,1
Deserts & Xeric Shrublands,Populus,4,1,1,1
Deserts & Xeric Shrublands,Populus,5,1,1,1
Deserts & Xeric Shrublands,Populus,6,2,2,2
Deserts & Xeric Shrublands,Populus,7,1,1,1
Deserts & Xeric Shrublands,Populus,18,1,1,1
Deserts & Xeric Shrublands,Populus,20,3,3,2
Deserts & Xeric Shrublands,Populus,22,4,4,1
Deserts & Xeric Shrublands,Populus,23,1,1,1
Deserts & Xeric Shrublands,Populus,24,1,1,1
Deserts & Xeric Shrublands,Populus,28,2,2,2
Deserts & Xeric Shrublands,Populus,35,1,1,1
Deserts & Xeric Shrublands,Populus,41,1,1,1
Flooded Grasslands & Savannas,Pinus,13,2,2,2
Flooded Grasslands & Savannas,Pinus,21,4,4,2
Flooded Grasslands & Savannas,Populus,15,1,1,1
Mangroves,Acacia,5,2,2,1
Mangroves,Acacia,6,2,2,1
Mangroves,Acacia,7,2,2,1
Mangroves,Acacia,13,4,4,1
"Mediterranean Forests, Woodlands & Scrub",Eucalyptus,3,1,1,1
"Mediterranean Forests, Woodlands & Scrub",Eucalyptus,4,1,1,1
"Mediterranean Forests, Woodlands & Scrub",Eucalyptus,5,2,2,2
"Mediterranean Forests, Woodlands & Scrub",Eucalyptus,6,7,7,3
"Mediterranean Forests, Woodlands & Scrub",Eucalyptus,7,3,3,3
"Mediterranean Forests, Woodlands & Scrub",Eucalyptus,9,2,2,2
"Mediterranean Forests, Woodlands & Scrub",Pinus,6,5,5,1
"Mediterranean Forests, Woodlands & Scrub",Pinus,7,14,8,2
"Mediterranean Forests, Woodlands & Scrub",Pinus,8,26,16,2
"Mediterranean Forests, Woodlands & Scrub",Pinus,9,30,17,2
"Mediterranean Forests, Woodlands & Scrub",Pinus,10,30,17,2
"Mediterranean Forests, Woodlands & Scrub",Pinus,11,37,24,3
"Mediterranean Forests, Woodlands & Scrub",Pinus,12,28,16,2
"Mediterranean Forests, Woodlands & Scrub",Pinus,13,7,7,1
"Mediterranean Forests, Woodlands & Scrub",Pinus,15,7,7,1
"Mediterranean Forests, Woodlands & Scrub",Pinus,30,1,1,1
"Mediterranean Forests, Woodlands & Scrub",Pinus,35,1,1,1
"Mediterranean Forests, Woodlands & Scrub",Pinus,50,2,2,2
"Mediterranean Forests, Woodlands & Scrub",Pseudotsuga,11,1,1,1
"Mediterranean Forests, Woodlands & Scrub",Pseudotsuga,15,6,6,1
"Mediterranean Forests, Woodlands & Scrub",Pseudotsuga,17,7,7,1
"Mediterranean Forests, Woodlands & Scrub",Pseudotsuga,19,15,8,2
"Mediterranean Forests, Woodlands & Scrub",Pseudotsuga,23,7,7,1
"Mediterranean Forests, Woodlands & Scrub",Pseudotsuga,25,6,6,1
"Mediterranean Forests, Woodlands & Scrub",Pseudotsuga,27,7,7,1
"Mediterranean Forests, Woodlands & Scrub",Pseudotsuga,28,1,1,1
"Mediterranean Forests, Woodlands & Scrub",Pseudotsuga,30,7,7,1
"Mediterranean Forests, Woodlands & Scrub",Pseudotsuga,32,6,6,1
"Mediterranean Forests, Woodlands & Scrub",Pseudotsuga,40,6,6,1
"Mediterranean Forests, Woodlands & Scrub",Pseudotsuga,54,1,1,1
Montane Grasslands & Shrublands,Eucalyptus,4,3,3,1
Montane Grasslands & Shrublands,Eucalyptus,5,3,3,1
Montane Grasslands & Shrublands,Eucalyptus,7,2,2,1
Montane Grasslands & Shrublands,Eucalyptus,9,1,1,1
Montane Grasslands & Shrublands,Larix,12,3,3,1
Montane Grasslands & Shrublands,Larix,13,1,1,1
Montane Grasslands & Shrublands,Larix,14,3,3,1
Montane Grasslands & Shrublands,Larix,15,2,2,1
Montane Grasslands & Shrublands,Larix,17,3,3,1
Montane Grasslands & Shrublands,Larix,20,2,2,1
Montane Grasslands & Shrublands,Larix,21,4,4,1
Montane Grasslands & Shrublands,Larix,22,9,9,2
Montane Grasslands & Shrublands,Larix,23,7,7,1
Montane Grasslands & Shrublands,Larix,24,5,5,1
Montane Grasslands & Shrublands,Larix,25,4,4,1
Montane Grasslands & Shrublands,Larix,26,1,1,1
