grp,a,a_se,k,k_se,m,n,rmse,nrmse_avg
Temperate needleleaf,NA,NA,NA,NA,3,NA,NA,NA
Temperate broadleaf,NA,NA,NA,NA,3,NA,NA,NA
Tropical needleleaf,NA,NA,NA,NA,3,NA,NA,NA
Tropical broadleaf,NA,NA,NA,NA,3,NA,NA,NA
Mediterranean needleleaf,NA,NA,NA,NA,3,NA,NA,NA
Boreal needleleaf,NA,NA,NA,NA,3,NA,NA,NA
Pinus,NA,NA,NA,NA,3,NA,NA,NA
Eucalyptus,NA,NA,NA,NA,3,NA,NA,NA
Cunninghamia,NA,NA,NA,NA,3,NA,NA,NA
Picea,NA,NA,NA,NA,3,NA,NA,NA
Populus,NA,NA,NA,NA,3,NA,NA,NA
Pseudotsuga,NA,NA,NA,NA,3,NA,NA,NA
Larix,NA,NA,NA,NA,3,NA,NA,NA
Cryptomeria,NA,NA,NA,NA,3,NA,NA,NA
Acacia,NA,NA,NA,NA,3,NA,NA,NA
