grp,a,a_se,k,k_se,m,n,rmse,nrmse_avg
Abies fabri,NA,NA,NA,NA,4,NA,NA,NA
Abies grandis,128.6398,NA,3.7404,NA,4,NA,NA,NA
Abies sachalinensis,42.0319,NA,4.4318,NA,4,NA,NA,NA
Acacia auriculiformis,65.7047,13.7124,0.365,0.1945,4,25,52.22,0.8344
Acacia catechu,NA,NA,NA,NA,4,NA,NA,NA
Acacia confusa,NA,NA,NA,NA,4,NA,NA,NA
Acacia crassicarpa,21.6195,6.4353,0.5873,0.1358,4,25,7.4676,0.5945
Acacia dealbata,NA,NA,NA,NA,4,NA,NA,NA
Acacia farnesiana,NA,NA,NA,NA,4,NA,NA,NA
Acacia mangium,77.1901,8.2369,0.4214,0.0424,4,25,24.5862,0.4041
Acacia mearnsii,42.3,5.1119,0.4409,0.1046,4,25,16.657,0.5561
Acacia nilotica,66.4392,20.1531,0.5696,0,4,NA,NA,NA
Acacia polystachya,NA,NA,NA,NA,4,NA,NA,NA
Aegiceras corniculatum,NA,NA,NA,NA,4,NA,NA,NA
Ailanthus triphysa,NA,NA,NA,NA,4,NA,NA,NA
Albizia falcata,100.1229,1.9021,0.3786,0.0118,4,25,13.9353,0.2063
Albizia guachapele,NA,NA,NA,NA,4,NA,NA,NA
Albizia procera,NA,NA,NA,NA,4,NA,NA,NA
Alnus cremastogyne,39.2084,2.9377,0.3276,0.0446,4,18,9.9367,0.435
Alnus formosana,NA,NA,NA,NA,4,NA,NA,NA
Alnus glutinosa,46.0477,NA,4.1599,NA,4,25,30.5431,0.6172
Alnus incana,57.2613,3.0805,0.1648,0.009,4,NA,NA,NA
Alnus japonica,41.7396,10.1435,1.4297,1557380.9009,4,25,17.4224,0.4147
Alnus nepalensis,NA,NA,NA,NA,4,NA,NA,NA
Alnus rubra,NA,NA,NA,NA,4,NA,NA,NA
Anacardium excelsum,NA,NA,NA,NA,4,NA,NA,NA
Araucaria cunninghamii,62.6458,NA,5.9975,NA,4,NA,NA,NA
Artocarpus heterophyllus,NA,NA,NA,NA,4,NA,NA,NA
Artocarpus hirsutus,NA,NA,NA,NA,4,NA,NA,NA
Balizia elegans,NA,NA,NA,NA,4,NA,NA,NA
Betula alba,NA,NA,NA,NA,4,NA,NA,NA
Betula alnoides,NA,NA,NA,NA,4,NA,NA,NA
"Betula pendula, B. pubescens",46.8646,NA,3.2284,NA,4,25,22.1459,0.4061
Bischofia javanica,NA,NA,NA,NA,4,NA,NA,NA
Butea monosperma,NA,NA,NA,NA,4,NA,NA,NA
Calophyllum brasiliense,71.8118,1.144,0.2841,0.0162,4,25,12.0845,0.2051
Camellia oleifera,NA,NA,NA,NA,4,NA,NA,NA
Castanea sativa,60.5704,2.526,0.0744,0.0034,4,NA,NA,NA
Castanopsis fissa,177.2211,14.2066,0.1124,0.0068,4,NA,NA,NA
Castanopsis hystrix,25.6973,9.7531,0.2742,0.0193,4,NA,NA,NA
Castanopsis kawakamii,112.575,NA,2.552,NA,4,NA,NA,NA
Castanopsis sclerophylla,NA,NA,NA,NA,4,NA,NA,NA
Casuarina equisetifolia,82.3643,23.5272,0.2831,0.0605,4,25,29.7008,1.0811
Cedrela odorata,NA,NA,NA,NA,4,NA,NA,NA
Cedrus libani,NA,NA,NA,NA,4,NA,NA,NA
Chamaecyparis lawsoniana,NA,NA,NA,NA,4,NA,NA,NA
Chamaecyparis obtusa,99.3396,9.7747,0.0798,0.0059,4,25,25.3361,0.3332
Chukrasia tabularis,NA,NA,NA,NA,4,NA,NA,NA
Cinnamomum bodinieri,NA,NA,NA,NA,4,NA,NA,NA
Cinnamomum camphora,53.2124,NA,2.7901,NA,4,NA,NA,NA
Cordia alliodora,NA,NA,NA,NA,4,NA,NA,NA
Corymbia citriodora,NA,NA,NA,NA,4,NA,NA,NA
Corymbia maculata,NA,NA,NA,NA,4,NA,NA,NA
Corymbia torelliana,NA,NA,NA,NA,4,NA,NA,NA
Cryptomeria fortunei,36.7018,NA,7.5595,NA,4,NA,NA,NA
Cryptomeria japonica,117.3755,11.9272,0.0939,0.0083,4,25,34.39,0.4745
Cunninghamia konishii,NA,NA,NA,NA,4,NA,NA,NA
Cunninghamia lanceolata,102.4268,10.1323,0.0767,0.0046,4,19,35.1674,0.8172
Cupressus arizonica,NA,NA,NA,NA,4,NA,NA,NA
Cupressus funebris,28.8118,NA,5.5812,NA,4,25,14.9148,0.6434
Cupressus lusitanica,128.3102,NA,5.5947,NA,4,NA,NA,NA
Cyclobalanopsis chungii,NA,NA,NA,NA,4,NA,NA,NA
Dalbergia nigra,NA,NA,NA,NA,4,NA,NA,NA
Dalbergia retusa,NA,NA,NA,NA,4,NA,NA,NA
Dalbergia sissoo,112.8786,49.0047,0.3041,0.032,4,25,97.2265,1.6622
Dipterocarpus turbinatus,NA,NA,NA,NA,4,NA,NA,NA
Dipteryx oleifera,45.0557,9.3012,7.4925,263431495.688,4,25,22.045,0.4622
Elaeagnus angustifolia,NA,NA,NA,NA,4,NA,NA,NA
Eucalyptus camaldulensis,78.93,NA,7.8679,NA,4,25,91.8226,1.0665
Eucalyptus citriodora,74.0229,NA,3.6007,NA,4,NA,NA,NA
Eucalyptus cloeziana,NA,NA,NA,NA,4,NA,NA,NA
Eucalyptus clone,85.3063,7.4276,0.4915,0.0263,4,25,10.4044,0.3103
Eucalyptus dunnii,133.9884,NA,71.4015,NA,4,NA,NA,NA
Eucalyptus exserta,34.8434,6.8241,0.3981,0.1585,4,25,19.4886,0.9373
Eucalyptus globulus,93.6446,19.8672,0.269,0.0364,4,25,21.7356,0.5896
Eucalyptus grandis,142.6578,24.0948,0.3517,0.081,4,25,45.1849,0.6557
Eucalyptus grandis x urophylla,29.6448,NA,33.2662,NA,4,NA,NA,NA
Eucalyptus nitens,79.4397,NA,17.2212,NA,4,18,34.5745,0.5601
Eucalyptus pellita,NA,NA,NA,NA,4,NA,NA,NA
Eucalyptus PF1,NA,NA,NA,NA,4,NA,NA,NA
Eucalyptus pilularis,NA,NA,NA,NA,4,NA,NA,NA
Eucalyptus robusta,20.6801,NA,8.6852,NA,4,18,7.2206,0.3586
Eucalyptus saligna,117.7481,26.6811,0.5804,0.0652,4,25,58.7383,1.1706
Eucalyptus spp.,NA,NA,NA,NA,4,NA,NA,NA
Eucalyptus tereticornis,86.5379,14.3623,0.3133,0.0571,4,25,29.2436,0.5994
Eucalyptus urophylla,133.1668,33.474,0.2469,0.0272,4,25,48.4149,0.7563
Eucalyptus urophylla Clone U6,NA,NA,NA,NA,4,NA,NA,NA
Eucalyptus urophylla Clone W5,NA,NA,NA,NA,4,NA,NA,NA
Eucalyptus urophylla x grandis,64.4745,8.3482,0.417,0.0725,4,25,17.2399,0.4531
Evodia glabrifolia,21.9359,NA,5.8866,NA,4,25,10.0003,0.4382
Fagus crenata,NA,NA,NA,NA,4,NA,NA,NA
Fagus sylvatica,31.9688,NA,1.0566,NA,4,25,32.6374,1.3673
Fokienia hodginsii,115.6801,25.9459,0.0806,0.0192,4,25,22.7572,0.3171
Fraxinus excelsior,37.9165,0.26,0.1005,0.0173,4,NA,NA,NA
Fraxinus mandschurica,82.2362,NA,6.6774,NA,4,25,12.634,0.1501
Gmelina arborea,197.9976,8.9975,0.1413,0.0158,4,25,23.7576,0.2171
Hieronyma alchorneoides,34.0607,NA,6.7986,NA,4,25,23.4549,0.7429
Jacaranda copaia,20.3494,3.2659,6.1606,2465437.9468,4,NA,NA,NA
Kandelia candel,NA,NA,NA,NA,4,NA,NA,NA
Lagerstroemia speciosa,NA,NA,NA,NA,4,NA,NA,NA
Larix decidua,58.2381,NA,3.3083,NA,4,NA,NA,NA
"Larix decidua, L. sukaczewii",48.5501,NA,2.9811,NA,4,25,12.3349,0.2739
Larix eurolepis,NA,NA,NA,NA,4,NA,NA,NA
Larix gmelinii,121.6306,23.2655,0.0605,0.0088,4,25,32.2124,0.8021
Larix gmelinii var. principis-rupprechtii,NA,NA,NA,NA,4,NA,NA,NA
Larix gmelinii var. Principis-rupprechtii,NA,NA,NA,NA,4,NA,NA,NA
Larix kaempferi,54.8062,8.7647,0.1249,0.0218,4,25,17.0741,0.3988
Larix olgensis,NA,NA,NA,NA,4,NA,NA,NA
Larix potaninii,NA,NA,NA,NA,4,NA,NA,NA
Larix sibirica,163.693,18.5514,0.0512,0.0043,4,25,30.1434,0.3738
Leucaena leucocephala,33.2756,10.6575,3.2568,2545.1268,4,25,25.8921,0.6713
Lindera communis,NA,NA,NA,NA,4,NA,NA,NA
Liquidambar styraciflua,NA,NA,NA,NA,4,NA,NA,NA
Liriodendron chinense,34.735,NA,4.8732,NA,4,25,27.7938,1.2311
Maesopsis eminii,NA,NA,NA,NA,4,NA,NA,NA
Metasequoia glyptostroboides,126.1967,24.9192,0.1033,0.015,4,25,30.0423,0.5062
Michelia macclurei,33.0054,NA,4.1172,NA,4,25,29.5466,0.8562
Morus alba,NA,NA,NA,NA,4,NA,NA,NA
Mytilaria laosensis,NA,NA,NA,NA,4,NA,NA,NA
Nothofagus obliqua,NA,NA,NA,NA,4,NA,NA,NA
Ormosia xylocarpa,NA,NA,NA,NA,4,NA,NA,NA
Pachira quinata,NA,NA,NA,NA,4,NA,NA,NA
Paulownia fortunei,25.8409,1.551,4.2657,176498.471,4,25,2.7984,0.1082
Paulownia tomentosa,NA,NA,NA,NA,4,NA,NA,NA
Phellodendron chinense,NA,NA,NA,NA,4,NA,NA,NA
Phoebe bournei,NA,NA,NA,NA,4,NA,NA,NA
Phoebe zhennan,NA,NA,NA,NA,4,NA,NA,NA
Phyllanthus emblica,NA,NA,NA,NA,4,NA,NA,NA
Phyllostachys heteroclada,NA,NA,NA,NA,4,NA,NA,NA
Picea abies,121.7199,14.975,0.0637,0.008,4,25,36.3689,0.5328
Picea asperata,164.8446,63.1401,0.0368,0.0077,4,25,17.2481,0.7597
Picea crassifolia,NA,NA,NA,NA,4,NA,NA,NA
Picea glauca,NA,NA,NA,NA,4,NA,NA,NA
Picea koraiensis,NA,NA,NA,NA,4,NA,NA,NA
"Picea koraiensis, P. glehnii",101.2814,NA,2.0851,NA,4,NA,NA,NA
Picea likiangensis,NA,NA,NA,NA,4,NA,NA,NA
Picea mariana,NA,NA,NA,NA,4,NA,NA,NA
Picea obovata,83.0633,29.7329,0.0497,0.0096,4,25,12.7231,1.0133
Picea omorika,NA,NA,NA,NA,4,NA,NA,NA
Picea sitchensis,195.0367,30.3807,0.0674,0.0064,4,25,34.3556,0.715
Pinus armandii,31.2214,NA,2.04,NA,4,25,11.706,0.4083
Pinus banksiana,NA,NA,NA,NA,4,NA,NA,NA
Pinus brutia,151.4623,40.2391,0.0741,0.0073,4,25,17.5688,1.2577
Pinus caribaea,80.7394,20.5297,1.455,153.1512,4,25,43.7727,0.5335
Pinus contorta,40.8689,NA,5.6757,NA,4,NA,NA,NA
Pinus densiflora,NA,NA,NA,NA,4,NA,NA,NA
Pinus elliottii,104.3146,21.2045,0.1111,0.0261,4,25,23.339,0.5148
Pinus halepensis,17.8021,2.9392,0.1136,0.0134,4,25,7.5499,1.106
Pinus henryi,NA,NA,NA,NA,4,NA,NA,NA
Pinus kesiya,168.9906,32.9853,0.0853,0.0077,4,NA,NA,NA
Pinus koraiensis,87.4208,10.1397,0.0673,0.0052,4,25,15.2475,0.3984
Pinus kwangtungensis,NA,NA,NA,NA,4,NA,NA,NA
Pinus massoniana,48.7525,4.9571,0.1279,0.0122,4,25,21.2464,0.5672
Pinus nigra,85.4874,12.5514,0.0814,0.0113,4,25,22.1373,0.6894
Pinus oocarpa,NA,NA,NA,NA,4,NA,NA,NA
Pinus palustris,NA,NA,NA,NA,4,NA,NA,NA
Pinus patula,96.4589,15.7673,0.0872,0.0169,4,NA,NA,NA
Pinus pinaster,241.2867,73.0658,0.0678,0.0076,4,NA,NA,NA
Pinus ponderosa,140.6338,43.5678,0.1226,0.042,4,25,49.737,0.6236
Pinus pseudostrobus,NA,NA,NA,NA,4,NA,NA,NA
